t,open,high,low,close,volume,date_vn,best_bid,best_ask,bid_volume_1,ask_volume_1,bid_volume_2,ask_volume_2,bid_volume_3,ask_volume_3,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1785982500,38.1,38.2,38.1,38.2,9000,2026-08-06,,,,,,,,,BID,2026-08-06 09:15:00+07:00,2026-08-06,555,1,,9000.0,343800.0,9000.0,343800.0,38.2,0.0,0.2624671916010568
1785982560,38.2,38.25,38.2,38.25,9100,2026-08-06,,,,,,,,,BID,2026-08-06 09:16:00+07:00,2026-08-06,556,2,0.13089005235600304,9100.0,348075.0,18100.0,691875.0,38.22513812154696,0.06504065040651152,0.3937007874015741
1785982620,38.25,38.3,38.25,38.3,17100,2026-08-06,,,,,,,,,BID,2026-08-06 09:17:00+07:00,2026-08-06,557,3,0.13071895424836555,17100.0,654930.0,35200.0,1346805.0,38.26150568181818,0.10060847709951748,0.5249343832020914
1785982680,38.25,38.3,38.25,38.3,23900,2026-08-06,,,,,,,,,BID,2026-08-06 09:18:00+07:00,2026-08-06,558,4,0.0,23900.0,915369.9999999999,59100.0,2262175.0,38.27707275803723,0.059898106910361015,0.5249343832020914
1785982740,38.3,38.3,38.25,38.25,45300,2026-08-06,,,,,,,,,BID,2026-08-06 09:19:00+07:00,2026-08-06,559,5,-0.13054830287205776,45300.0,1732725.0,104400.0,3994900.0,38.265325670498086,-0.04005106510801548,0.3937007874015741
1785982800,38.25,38.3,38.2,38.2,17600,2026-08-06,,,,,,,,,BID,2026-08-06 09:20:00+07:00,2026-08-06,560,6,-0.13071895424835445,17600.0,672320.0,122000.0,4667220.0,38.25590163934426,-0.1461255308298992,0.2624671916010568
1785982860,38.2,38.25,38.2,38.2,10800,2026-08-06,,,,,,,,,BID,2026-08-06 09:21:00+07:00,2026-08-06,561,7,0.0,10800.0,412560.00000000006,132800.0,5079780.0,38.251355421686746,-0.13425778281735967,0.2624671916010568
1785982920,38.2,38.2,38.15,38.15,16000,2026-08-06,,,,,,,,,BID,2026-08-06 09:22:00+07:00,2026-08-06,562,8,-0.13089005235603635,16000.0,610400.0,148800.0,5690180.0,38.24045698924731,-0.23654787722006132,0.1312335958005173
1785982980,38.15,38.15,38.15,38.15,3800,2026-08-06,,,,,,,,,BID,2026-08-06 09:23:00+07:00,2026-08-06,563,9,0.0,3800.0,144970.0,152600.0,5835150.0,38.238204456094365,-0.23067101959676206,0.1312335958005173
1785983040,38.1,38.15,38.05,38.05,11200,2026-08-06,,,,,,,,,BID,2026-08-06 09:24:00+07:00,2026-08-06,564,10,-0.2621231979030192,11200.0,426159.99999999994,163800.0,6261310.0,38.22533577533577,-0.4586899546580536,-0.1312335958005395
1785983100,38.05,38.05,38.05,38.05,3400,2026-08-06,,,,,,,,,BID,2026-08-06 09:25:00+07:00,2026-08-06,565,11,0.0,3400.0,129369.99999999999,167200.0,6390680.0,38.22177033492823,-0.449404445223367,-0.1312335958005395
1785983160,38.05,38.05,38.05,38.05,10300,2026-08-06,,,,,,,,,BID,2026-08-06 09:26:00+07:00,2026-08-06,566,12,0.0,10300.0,391914.99999999994,177500.0,6782595.0,38.21180281690141,-0.42343675245243295,-0.1312335958005395
1785983220,38.05,38.05,38.0,38.0,28800,2026-08-06,,,,,,,,,BID,2026-08-06 09:27:00+07:00,2026-08-06,567,13,-0.13140604467805073,28800.0,1094400.0,206300.0,7876995.0,38.182234609791564,-0.477275915498232,-0.2624671916010568
1785983280,38.0,38.0,38.0,38.0,1600,2026-08-06,,,,,,,,,BID,2026-08-06 09:28:00+07:00,2026-08-06,568,14,0.0,1600.0,60800.0,207900.0,7937795.0,38.18083213083213,-0.47362019301329106,-0.2624671916010568
1785983340,38.05,38.05,38.0,38.0,4900,2026-08-06,,,,,,,,,BID,2026-08-06 09:29:00+07:00,2026-08-06,569,15,0.0,4900.0,186200.0,212800.0,8123995.0,38.17666823308271,-0.4627649327701544,-0.2624671916010568
1785983400,38.0,38.05,38.0,38.05,24000,2026-08-06,,,,,,,,,BID,2026-08-06 09:30:00+07:00,2026-08-06,570,16,0.1315789473684159,24000.0,913199.9999999999,236800.0,9037195.0,38.16383023648649,-0.298267327417423,-0.1312335958005395
1785983460,38.05,38.05,38.05,38.05,4100,2026-08-06,,,,,,,,,BID,2026-08-06 09:31:00+07:00,2026-08-06,571,17,0.0,4100.0,156005.0,240900.0,9193200.0,38.16189290161893,-0.29320584780054837,-0.1312335958005395
1785983520,38.05,38.05,38.0,38.0,8600,2026-08-06,,,,,,,,,BID,2026-08-06 09:32:00+07:00,2026-08-06,572,18,-0.13140604467805073,8600.0,326800.0,249500.0,9520000.0,38.1563126252505,-0.40966386554621703,-0.2624671916010568
1785983580,38.0,38.0,38.0,38.0,11000,2026-08-06,,,,,,,,,BID,2026-08-06 09:33:00+07:00,2026-08-06,573,19,0.0,11000.0,418000.0,260500.0,9938000.0,38.14971209213052,-0.39243308512779684,-0.2624671916010568
1785983640,38.0,38.0,38.0,38.0,9100,2026-08-06,,,,,,,,,BID,2026-08-06 09:34:00+07:00,2026-08-06,574,20,0.0,9100.0,345800.0,269600.0,10283800.0,38.1446587537092,-0.3792372469320737,-0.2624671916010568
1785983700,38.0,38.0,38.0,38.0,7400,2026-08-06,,,,,,,,,BID,2026-08-06 09:35:00+07:00,2026-08-06,575,21,0.0,7400.0,281200.0,277000.0,10565000.0,38.14079422382672,-0.369143398012306,-0.2624671916010568
1785983760,37.95,37.95,37.95,37.95,4700,2026-08-06,,,,,,,,,BID,2026-08-06 09:36:00+07:00,2026-08-06,576,22,-0.1315789473684159,4700.0,178365.0,281700.0,10743365.0,38.137610933617324,-0.4919315316942119,-0.3937007874015741
1785983820,37.95,38.0,37.95,38.0,20900,2026-08-06,,,,,,,,,BID,2026-08-06 09:37:00+07:00,2026-08-06,577,23,0.13175230566533358,20900.0,794200.0,302600.0,11537565.0,38.128106411103765,-0.3359894397127916,-0.2624671916010568
1785983880,38.0,38.05,38.0,38.05,19900,2026-08-06,,,,,,,,,BID,2026-08-06 09:38:00+07:00,2026-08-06,578,24,0.1315789473684159,19900.0,757195.0,322500.0,12294760.0,38.12328682170543,-0.19223636736301897,-0.1312335958005395
1785983940,38.05,38.1,38.05,38.1,1500,2026-08-06,,,,,,,,,BID,2026-08-06 09:39:00+07:00,2026-08-06,579,25,0.13140604467807293,1500.0,57150.0,324000.0,12351910.0,38.12317901234568,-0.06080031347378556,0.0
