t,open,high,low,close,volume,date_vn,Ticker,Timestamp,TradeDate,MinuteOfDay,MinuteIndexInDay,ret_1m_pct,volume_per_minute,traded_value_1m,cum_volume,cum_traded_value,cum_vwap,close_vs_cum_vwap_pct,ret_from_day_open_pct
1786519800,1789.31,1789.31,1789.31,1789.31,237837,2026-08-12,VNINDEX,2026-08-12 14:30:00+07:00,2026-08-12,870,230,-0.09547632075577184,237837.0,425564122.46999997,415796641.0,742958468584.25,1786.8313385058107,0.13871826852231983,0.6814089579113114
1786519920,1787.2,1787.2,1787.19,1787.19,0,2026-08-12,VNINDEX,2026-08-12 14:32:00+07:00,2026-08-12,872,231,-0.11848142580099807,0.0,0.0,415796641.0,742958468584.25,1786.8313385058107,0.020072487338906875,0.5621201890614547
1786519980,1790.1,1790.1,1790.02,1790.02,0,2026-08-12,VNINDEX,2026-08-12 14:33:00+07:00,2026-08-12,873,232,0.1583491402704862,0.0,0.0,415796641.0,742958468584.25,1786.8313385058107,0.17845341222053612,0.721359441818592
1786520040,1789.85,1789.85,1789.85,1789.85,0,2026-08-12,VNINDEX,2026-08-12 14:34:00+07:00,2026-08-12,874,233,-0.009497100591060459,0.0,0.0,415796641.0,742958468584.25,1786.8313385058107,0.16893936372939233,0.7117938329957108
1786520160,1789.21,1789.21,1789.21,1789.21,0,2026-08-12,VNINDEX,2026-08-12 14:36:00+07:00,2026-08-12,876,234,-0.035757186356388804,0.0,0.0,415796641.0,742958468584.25,1786.8313385058107,0.13312176940989406,0.675782129191993
1786520220,1787.41,1787.41,1787.41,1787.41,0,2026-08-12,VNINDEX,2026-08-12 14:37:00+07:00,2026-08-12,877,235,-0.10060305945082115,0.0,0.0,415796641.0,742958468584.25,1786.8313385058107,0.032384785386252446,0.5744992122439729
1786520280,1790.35,1790.35,1790.35,1790.35,0,2026-08-12,VNINDEX,2026-08-12 14:38:00+07:00,2026-08-12,878,236,0.1644838061776399,0.0,0.0,415796641.0,742958468584.25,1786.8313385058107,0.19692185929152117,0.7399279765923916
1786520460,1790.38,1790.38,1790.38,1790.38,0,2026-08-12,VNINDEX,2026-08-12 14:41:00+07:00,2026-08-12,881,237,0.0016756500125891804,0.0,0.0,415796641.0,742958468584.25,1786.8313385058107,0.19860080902525112,0.7416160252081916
1786520520,1790.35,1790.35,1790.35,1790.35,0,2026-08-12,VNINDEX,2026-08-12 14:42:00+07:00,2026-08-12,882,238,-0.001675621935015581,0.0,0.0,415796641.0,742958468584.25,1786.8313385058107,0.19692185929152117,0.7399279765923916
1786520580,1792.25,1792.25,1792.25,1792.25,0,2026-08-12,VNINDEX,2026-08-12 14:43:00+07:00,2026-08-12,883,239,0.10612450079594549,0.0,0.0,415796641.0,742958468584.25,1786.8313385058107,0.30325534242758856,0.8468377222597301
1786520640,1792.54,1792.54,1792.54,1792.54,0,2026-08-12,VNINDEX,2026-08-12 14:44:00+07:00,2026-08-12,884,240,0.01618077835123799,0.0,0.0,415796641.0,742958468584.25,1786.8313385058107,0.31948518985362995,0.863155525545789
1786520700,1793.18,1793.18,1793.18,1793.18,36764270,2026-08-12,VNINDEX,2026-08-12 14:45:00+07:00,2026-08-12,885,241,0.0357035268390149,36764270.0,65924953678.600006,452560911.0,808883422262.85,1787.3470788175296,0.3263451878819934,0.899167229349529
1786521900,1793.18,1793.18,1793.18,1793.18,0,2026-08-12,VNINDEX,2026-08-12 15:05:00+07:00,2026-08-12,905,242,0.0,0.0,0.0,452560911.0,808883422262.85,1787.3470788175296,0.3263451878819934,0.899167229349529
1786586400,1796.27,1796.27,1796.27,1796.27,0,2026-08-13,VNINDEX,2026-08-13 09:00:00+07:00,2026-08-13,540,1,,0.0,0.0,0.0,0.0,,,0.0
1786587300,1793.81,1796.07,1793.81,1795.12,7122358,2026-08-13,VNINDEX,2026-08-13 09:15:00+07:00,2026-08-13,555,2,-0.06402155577948099,7122358.0,12785487292.96,7122358.0,12785487292.96,1795.12,0.0,-0.06402155577948099
1786587360,1795.1,1795.62,1794.8,1795.52,1437223,2026-08-13,VNINDEX,2026-08-13 09:16:00+07:00,2026-08-13,556,3,0.022282632915904266,1437223.0,2580562640.96,8559581.0,15366049933.919998,1795.1871632408172,0.018540504633612898,-0.041753188551829634
1786587420,1795.54,1796.69,1795.54,1796.69,1957331,2026-08-13,VNINDEX,2026-08-13 09:17:00+07:00,2026-08-13,557,4,0.06516218142933461,1957331.0,3516717034.3900003,10516912.0,18882766968.309998,1795.466860263735,0.06812377122267232,0.02338178558902726
1786587480,1796.82,1797.08,1796.05,1796.06,2042819,2026-08-13,VNINDEX,2026-08-13 09:18:00+07:00,2026-08-13,558,5,-0.03506447968208981,2042819.0,3669025493.14,12559731.0,22551792461.45,1795.563333438431,0.027660765416603894,-0.01169089279451363
1786587540,1796.22,1796.73,1795.84,1795.84,1228023,2026-08-13,VNINDEX,2026-08-13 09:19:00+07:00,2026-08-13,559,6,-0.01224903399663635,1228023.0,2205332824.3199997,13787754.0,24757125285.77,1795.5879750806405,0.014035787878796668,-0.023938494769726315
1786587600,1795.99,1796.11,1795.55,1796.07,1819220,2026-08-13,VNINDEX,2026-08-13 09:20:00+07:00,2026-08-13,560,7,0.012807377049184332,1819220.0,3267446465.4,15606974.0,28024571751.17,1795.6441621015065,0.023715049311046066,-0.011134183613825677
1786587660,1795.94,1797.09,1795.77,1796.84,1567921,2026-08-13,VNINDEX,2026-08-13 09:21:00+07:00,2026-08-13,561,8,0.04287138029142046,1567921.0,2817303169.64,17174895.0,30841874920.809998,1795.75333187248,0.060513217947755216,0.031732423299390966
1786587720,1797.02,1798.79,1797.02,1798.24,2281978,2026-08-13,VNINDEX,2026-08-13 09:22:00+07:00,2026-08-13,562,9,0.07791456111840844,2281978.0,4103544118.72,19456873.0,34945419039.53,1796.0449780152237,0.12221419906766062,0.1096717085961485
1786587780,1798.1,1798.75,1798.1,1798.27,1933486,2026-08-13,VNINDEX,2026-08-13 09:23:00+07:00,2026-08-13,563,10,0.001668297891277426,1933486.0,3476929869.22,21390359.0,38422348908.75,1796.246098943454,0.11267392913123508,0.11134183613821236
1786587840,1797.9,1798.4,1797.87,1798.4,1585356,2026-08-13,VNINDEX,2026-08-13 09:24:00+07:00,2026-08-13,564,11,0.007229170258082895,1585356.0,2851104230.4,22975715.0,41273453139.15,1796.3947210848498,0.1116279674847398,0.11857905548720016
1786587900,1798.36,1798.53,1798.0,1798.0,1132714,2026-08-13,VNINDEX,2026-08-13 09:25:00+07:00,2026-08-13,565,12,-0.022241992882565675,1132714.0,2036619772.0,24108429.0,43310072911.15,1796.4701437472347,0.08515901352939004,0.09631068825957101
1786587960,1798.18,1798.18,1797.19,1797.19,1547024,2026-08-13,VNINDEX,2026-08-13 09:26:00+07:00,2026-08-13,566,13,-0.045050055617346096,1547024.0,2780296062.56,25655453.0,46090368973.71,1796.513551084442,0.03765342683608175,0.05121724462358035
1786588020,1796.87,1797.25,1796.84,1796.94,2088860,2026-08-13,VNINDEX,2026-08-13 09:27:00+07:00,2026-08-13,567,14,-0.01391060488874496,2088860.0,3753556088.4,27744313.0,49843925062.11,1796.5456582799509,0.0219499971087167,0.03729951510631491
