Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
VHM,2026-08-01T00:56:34.521495+07:00,14:46:24,10,147.9,137.6,158.2,154.0,144.6,859289.29,581040.0,148.1,10.0,0.0,0.0,68514.6,237074.2,-168559.6,205370600.2,176824927.7,148.0,148.1,810.0,180.0,147.9,148.2,10.0,30.0,147.5,148.3,10.0,110.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2026-08-03T15:05:36.921306+07:00,14:53:28,10,148.1,137.8,158.4,149.7,145.1,785506.78,531280.0,148.0,10.0,0.0,0.0,160719.6,166117.0,-5397.399999999994,205370600.2,176903229.7,148.0,148.1,3870.0,520.0,147.9,148.2,300.0,200.0,147.8,148.3,400.0,1410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2026-08-03T18:45:18.196082+07:00,14:53:28,10,148.1,137.8,158.4,149.7,145.1,785506.78,531280.0,148.0,10.0,0.0,0.0,160719.6,166117.0,-5397.399999999994,205370600.2,176903229.7,148.0,148.1,3870.0,520.0,147.9,148.2,300.0,200.0,147.8,148.3,400.0,1410.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2026-08-04T14:27:49.816180+07:00,14:27:49,10,148.0,137.7,158.3,153.3,146.8,843836.47,556640.0,152.1,10.0,0.0,0.0,242717.6,97881.0,144836.6,205370600.2,176816941.0,152.0,152.1,50.0,910.0,151.9,152.2,3530.0,1470.0,151.8,152.3,1020.0,3970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2026-08-04T17:52:00.181394+07:00,14:46:27,10,148.0,137.7,158.3,153.3,146.8,961849.8,633860.0,152.9,80.0,0.0,0.0,300547.6,113931.0,186616.6,205370600.2,176759511.0,152.9,153.0,50.0,21680.0,152.8,153.1,140.0,300.0,152.7,153.2,700.0,1400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2026-08-05T14:28:19.384381+07:00,14:28:18,10,152.9,142.2,163.6,158.8,153.1,1436117.42,919970.0,153.8,10.0,0.0,0.0,274390.5,69616.9,204773.6,205370600.2,176447168.5,153.8,153.9,60.0,7540.0,153.7,154.0,3670.0,24800.0,153.6,154.1,930.0,1290.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2026-08-05T17:48:06.944659+07:00,14:46:26,10,152.9,142.2,163.6,158.8,153.0,1662894.72,1068110.0,153.0,20.0,0.0,0.0,324320.5,77826.9,246493.6,205370600.2,176395228.5,153.0,153.1,3310.0,530.0,152.9,153.4,3630.0,110.0,152.8,153.5,180.0,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2026-08-06T14:29:00.523641+07:00,14:29:00,10,76.5,71.2,81.8,81.7,76.8,1293847.43,1625720.0,78.0,20.0,0.0,0.0,108056.3,403429.0,-295372.7,205370600.2,176189674.8,78.0,78.1,1190.0,990.0,77.9,78.2,80.0,1280.0,77.8,78.3,1540.0,730.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2026-08-06T17:50:44.155610+07:00,14:46:29,10,76.5,71.2,81.8,81.7,76.8,1336369.99,1680810.0,77.1,100.0,0.0,0.0,110756.3,414049.0,-303292.7,205370600.2,176139624.8,77.1,77.4,5280.0,10.0,77.0,77.5,11950.0,1000.0,76.9,77.7,8610.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VHM,2026-08-07T13:02:07.889650+07:00,13:02:07,10,77.1,71.8,82.4,76.8,74.0,336267.11,450150.0,74.1,10.0,0.0,0.0,16865.7,245004.8,-228139.1,205370600.2,176312785.0,74.0,74.1,24600.0,1080.0,73.9,74.2,2070.0,1190.0,73.8,74.3,2090.0,1790.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
