Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
GVR,2026-08-01T00:56:34.521495+07:00,14:46:08,10,27.55,25.65,29.45,28.4,27.5,61727.56,221670.0,27.5,10.0,0.0,0.0,11760.0,30600.0,-18840.0,52000000.0,49520932.0,27.5,27.6,3080.0,640.0,27.45,27.65,1800.0,250.0,27.4,27.7,1180.0,1120.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-03T15:05:36.921306+07:00,14:45:02,10,27.5,25.6,29.4,28.5,27.65,50968.255,180400.0,28.2,100.0,0.0,0.0,10160.0,10780.0,-620.0,52000000.0,49544417.0,28.15,28.2,1520.0,1050.0,28.1,28.25,3340.0,1780.0,28.05,28.3,5320.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-03T18:45:18.196082+07:00,14:45:02,10,27.5,25.6,29.4,28.5,27.65,50968.255,180400.0,28.2,100.0,0.0,0.0,10160.0,10780.0,-620.0,52000000.0,49544417.0,28.15,28.2,1520.0,1050.0,28.1,28.25,3340.0,1780.0,28.05,28.3,5320.0,640.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-04T14:27:49.816180+07:00,14:27:47,10,28.2,26.25,30.15,28.6,28.05,36759.625,129820.0,28.45,20.0,0.0,0.0,4670.0,10410.0,-5740.0,52000000.0,49570907.0,28.35,28.45,290.0,940.0,28.3,28.5,370.0,4470.0,28.25,28.55,450.0,1740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-04T17:52:00.181394+07:00,14:45:02,10,28.2,26.25,30.15,28.6,28.05,39721.605,140220.0,28.5,10.0,0.0,0.0,4830.0,10410.0,-5580.0,52000000.0,49570907.0,28.45,28.5,1980.0,5050.0,28.4,28.55,1440.0,2740.0,28.35,28.6,420.0,3970.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-05T14:28:19.384381+07:00,14:28:16,10,28.5,26.55,30.45,28.75,28.05,33901.15,119920.0,28.2,350.0,0.0,0.0,2090.0,6580.0,-4490.0,52000000.0,49594902.0,28.15,28.2,1530.0,660.0,28.1,28.25,3860.0,4450.0,28.05,28.3,1740.0,2960.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-05T17:48:06.944659+07:00,14:46:09,10,28.5,26.55,30.45,28.75,28.05,36758.485,130070.0,28.15,10.0,0.0,0.0,2150.0,6580.0,-4430.0,52000000.0,49594842.0,28.1,28.15,4180.0,260.0,28.05,28.2,1750.0,660.0,28.0,28.25,13350.0,4150.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-06T14:29:00.523641+07:00,14:28:58,10,28.15,26.2,30.1,28.3,27.75,30694.14,109790.0,27.95,220.0,0.0,0.0,33392.5,1480.0,31912.5,52000000.0,49568659.5,27.9,28.0,1000.0,1460.0,27.85,28.05,620.0,520.0,27.8,28.1,2550.0,920.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-06T17:50:44.155610+07:00,14:46:10,10,28.15,26.2,30.1,28.3,27.75,31833.445,113880.0,27.85,10.0,0.0,0.0,34772.5,1480.0,33292.5,52000000.0,49568479.5,27.85,27.9,1740.0,1140.0,27.8,27.95,5630.0,2400.0,27.75,28.0,1220.0,1330.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-07T13:02:07.889650+07:00,13:02:04,10,27.85,25.95,29.75,29.75,28.2,59520.785,201970.0,29.75,30.0,0.0,0.0,28090.0,5430.0,22660.0,52000000.0,49548449.5,29.75,0.0,278050.0,0.0,29.7,0.0,2180.0,0.0,29.65,0.0,1740.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-07T16:16:42.176885+07:00,14:45:02,10,27.85,25.95,29.75,29.75,28.2,62778.41,212920.0,29.75,50.0,0.0,0.0,28090.0,5450.0,22640.0,52000000.0,49547449.5,29.75,0.0,546710.0,0.0,29.7,0.0,2330.0,0.0,29.65,0.0,900.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-10T13:03:35.879902+07:00,13:03:35,10,29.75,27.7,31.8,31.8,31.1,145557.71,460830.0,31.6,70.0,0.0,0.0,35320.0,19070.0,16250.0,52000000.0,49524699.5,31.55,31.6,2980.0,4040.0,31.5,31.65,3470.0,1040.0,31.45,31.7,4350.0,3540.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-10T16:48:41.462635+07:00,14:45:02,10,29.75,27.7,31.8,31.8,31.1,193391.34,611810.0,31.8,100.0,0.0,0.0,51450.0,22230.0,29220.0,52000000.0,49505079.5,31.75,31.8,3690.0,43790.0,31.7,0.0,3060.0,0.0,31.65,0.0,1290.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-11T12:43:52.598102+07:00,11:30:07,10,31.8,29.6,34.0,32.2,31.55,31888.645,100290.0,31.6,10.0,0.0,0.0,18360.0,10520.0,7840.0,52000000.0,49512469.5,31.55,31.65,720.0,930.0,31.5,31.7,5750.0,1250.0,31.45,31.75,380.0,1620.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-11T16:14:59.604910+07:00,14:46:08,10,31.8,29.6,34.0,32.2,31.25,79358.575,251440.0,31.4,400.0,0.0,0.0,45400.0,16250.0,29150.0,52000000.0,49481929.5,31.4,31.45,1240.0,910.0,31.35,31.5,8220.0,2810.0,31.3,31.55,6860.0,450.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-12T13:07:21.129618+07:00,13:07:18,10,31.4,29.25,33.55,32.0,31.3,26512.535,83790.0,31.45,40.0,0.0,0.0,6480.0,20570.0,-14090.0,52000000.0,49495249.5,31.4,31.45,5490.0,330.0,31.35,31.5,2940.0,2290.0,31.3,31.55,3990.0,980.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-12T16:33:17.632093+07:00,14:46:08,10,31.4,29.25,33.55,32.65,31.3,119211.975,373010.0,32.25,10.0,0.0,0.0,22180.0,50560.0,-28380.0,52000000.0,49469049.5,32.25,32.3,390.0,2400.0,32.2,32.35,3190.0,2120.0,32.15,32.4,1300.0,4100.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
GVR,2026-08-13T13:08:46.226660+07:00,13:08:44,10,32.25,30.0,34.5,32.9,31.85,76061.64,233960.0,32.7,10.0,0.0,0.0,950.0,44680.0,-43730.0,52000000.0,49500769.5,32.65,32.7,2300.0,3970.0,32.6,32.75,3990.0,6820.0,32.55,32.8,5220.0,1700.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
