Ticker,FetchedAt,PriceboardTime,FloorCode,BasicPrice,FloorPrice,CeilingPrice,HighestPrice,LowestPrice,AccumulatedValue,AccumulatedVolume,MatchPrice,MatchVolume,CurrentPrice,CurrentVolume,ForeignBuyVolume,ForeignSellVolume,ForeignNetVolume,ForeignTotalRoom,ForeignCurrentRoom,BestBid1,BestAsk1,BidVolume1,AskVolume1,BestBid2,BestAsk2,BidVolume2,AskVolume2,BestBid3,BestAsk3,BidVolume3,AskVolume3,BestBid4,BestAsk4,BidVolume4,AskVolume4,BestBid5,BestAsk5,BidVolume5,AskVolume5,BestBid6,BestAsk6,BidVolume6,AskVolume6,BestBid7,BestAsk7,BidVolume7,AskVolume7,BestBid8,BestAsk8,BidVolume8,AskVolume8,BestBid9,BestAsk9,BidVolume9,AskVolume9,BestBid10,BestAsk10,BidVolume10,AskVolume10
VJC,2026-07-13T00:32:33.315221+07:00,14:46:31,10,139.0,129.3,148.7,138.0,137.1,103388.46,75090.0,138.0,50.0,0.0,0.0,1680.0,3523.8,-1843.8,23072788.8,18217653.3,138.0,138.1,7310.0,10.0,137.9,138.2,210.0,180.0,137.8,138.5,250.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJC,2026-07-19T11:59:11.345862+07:00,14:46:25,10,132.5,123.3,141.7,132.0,129.7,128433.45,98020.0,131.3,110.0,0.0,0.0,8120.0,10210.0,-2090.0,23072788.8,18250951.4,131.0,131.3,330.0,90.0,130.9,131.5,170.0,200.0,130.8,131.7,160.0,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJC,2026-07-19T12:01:50.221035+07:00,14:46:25,10,132.5,123.3,141.7,132.0,129.7,128433.45,98020.0,131.3,110.0,0.0,0.0,8120.0,10210.0,-2090.0,23072788.8,18250951.4,131.0,131.3,330.0,90.0,130.9,131.5,170.0,200.0,130.8,131.7,160.0,420.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJC,2026-08-01T00:56:34.521495+07:00,14:46:25,10,124.2,115.6,132.8,126.5,123.6,180551.55,144600.0,125.0,80.0,0.0,0.0,12941.0,6810.0,6131.0,23072788.8,18316496.7,125.0,125.2,2880.0,540.0,124.3,125.3,5170.0,630.0,124.2,125.4,390.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJC,2026-08-03T15:05:36.921306+07:00,14:46:29,10,125.0,116.3,133.7,127.0,123.7,135554.35,108070.0,126.6,20.0,0.0,0.0,6260.0,13220.0,-6960.0,23072788.8,18328718.7,126.6,126.7,30.0,30.0,126.5,126.8,310.0,250.0,126.4,126.9,190.0,2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJC,2026-08-03T18:45:18.196082+07:00,14:46:29,10,125.0,116.3,133.7,127.0,123.7,135554.35,108070.0,126.6,20.0,0.0,0.0,6260.0,13220.0,-6960.0,23072788.8,18328718.7,126.6,126.7,30.0,30.0,126.5,126.8,310.0,250.0,126.4,126.9,190.0,2350.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJC,2026-08-04T14:27:49.816180+07:00,14:27:49,10,126.6,117.8,135.4,126.6,124.3,183655.57,146600.0,126.0,10.0,0.0,0.0,5020.0,5971.3,-951.3000000000002,23072788.8,18330428.7,126.0,126.4,110.0,710.0,125.3,126.5,850.0,660.0,125.1,126.6,70.0,560.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJC,2026-08-04T17:52:00.181394+07:00,14:46:27,10,126.6,117.8,135.4,126.6,124.3,193837.05,154650.0,126.5,10.0,0.0,0.0,5060.0,8221.3,-3161.3,23072788.8,18330408.7,126.4,126.5,140.0,170.0,126.3,126.6,130.0,160.0,126.2,126.7,250.0,320.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJC,2026-08-05T14:28:19.384381+07:00,14:28:18,10,126.5,117.7,135.3,128.0,125.3,191342.63,151650.0,126.2,10.0,0.0,0.0,19190.0,8390.0,10800.0,23072788.8,18316338.7,126.2,126.3,140.0,20.0,126.1,126.4,330.0,140.0,126.0,126.5,220.0,1310.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJC,2026-08-05T17:48:06.944659+07:00,14:46:27,10,126.5,117.7,135.3,128.0,125.3,202425.41,160430.0,126.1,10.0,0.0,0.0,19190.0,8960.0,10230.0,23072788.8,18316338.7,126.1,126.4,130.0,30.0,126.0,126.5,510.0,360.0,125.9,126.9,170.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJC,2026-08-06T14:29:00.523641+07:00,14:28:59,10,126.1,117.3,134.9,127.0,125.0,177188.41,140860.0,125.6,30.0,0.0,0.0,6690.0,8830.0,-2140.0,23072788.8,18325427.2,125.6,125.8,80.0,20.0,125.5,125.9,170.0,190.0,125.4,126.0,270.0,650.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VJC,2026-08-06T17:50:44.155610+07:00,14:46:29,10,126.1,117.3,134.9,127.0,125.0,184534.17,146690.0,126.0,30.0,0.0,0.0,6809.0,9780.0,-2971.0,23072788.8,18325327.2,125.9,126.0,190.0,240.0,125.8,126.1,200.0,2020.0,125.7,126.2,250.0,900.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
